Database,Sheet,Columns,Asset,Type,Frequency,Pool,Num_Top,Num_Bottom,Adjust_Freq,Weight_Method,neutralize,size,beta,style,industry,Status,Pattern,Detailed,Priority
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rskew_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,Rven_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rven_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,Rven_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rven_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,Rvar_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rvar_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,Rvar_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Rvar_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,corr_original_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,corr_original_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,corr_original_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,corr_original_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,uid_feature_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,uid_feature_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,uid_feature_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,uid_feature_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,beta_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,beta_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,beta_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,beta_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,hp_pos_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,hp_pos_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,close_volume_ratio_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,close_volume_ratio_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,pvi_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,pvi_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,pvi_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,pvi_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,negative_corr_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,negative_corr_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,negative_corr_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,negative_corr_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,variance_ratio_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,variance_ratio_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,APT_inflow_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,APT_inflow_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,APT_inflow_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,APT_inflow_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,TVP_late_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,TVP_late_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Reverse_10_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,Reverse_10_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,BOP_30_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,BOP_30_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear-,0,0
high_freq_factor,high_freq_factor_rolling,DFP_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,DFP_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
high_freq_factor,high_freq_factor_rolling,DFP_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,convex,0,0
high_freq_factor,high_freq_factor_rolling,DFP_rolling_20,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
composition_factor,factor_combine4_2021_adjsutday,factor_combine4_2021_adjsutday,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,1,1,0,linear+,0,0
composition_factor,factor_combine4_2021_adjsutday,factor_combine4_2021_adjsutday,Ticker,Technical,Day,All A,200,200,5,,barra,1,1,0,1,0,linear+,0,0
composition_factor,factor_combine4_2021_adjsutday,factor_combine4_2021_adjsutday,Ticker,Technical,Day,All A,200,200,5,,,1,1,0,1,0,linear+,0,0
